ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
18,7.0,XX.0,XXX,XX,XX,  Alamdanga Paurashava,32048,8.0,9.4,9.9,8.9,8.7,10.0,29.6,7.6,2.9,5.1,00111
18,7.0,1.0,XXX,XX,XX,  Ward No-01 Total,3971,7.9,8.9,9.4,9.7,9.5,9.4,31.0,7.4,2.5,4.3,00111
18,7.0,2.0,XXX,XX,XX,  Ward No-02 Total,4055,8.3,9.5,10.3,9.0,8.5,9.0,30.8,7.1,3.0,4.5,00111
18,7.0,3.0,XXX,XX,XX,  Ward No-03 Total,3049,7.3,7.2,9.2,8.9,8.9,9.5,29.6,9.4,3.4,6.5,00111
18,7.0,4.0,XXX,XX,XX,  Ward No-04 Total,4431,7.5,9.3,10.0,9.6,8.2,10.0,29.7,8.1,3.0,4.4,00111
18,7.0,5.0,XXX,XX,XX,  Ward No-05 Total,4027,8.2,10.4,10.2,8.5,8.7,10.1,28.8,6.8,2.9,5.4,00111
18,7.0,6.0,XXX,XX,XX,  Ward No-06 Total,3992,8.4,9.4,10.1,8.7,8.1,10.5,28.0,7.6,3.4,5.8,00111
18,7.0,7.0,XXX,XX,XX,  Ward No-07 Total,3185,8.0,8.7,9.9,7.9,10.6,10.5,29.8,7.4,2.4,4.7,00111
18,7.0,8.0,XXX,XX,XX,  Ward No-08 Total,2536,7.8,10.4,9.3,8.5,8.0,10.0,29.7,7.8,2.8,5.8,00111
18,7.0,9.0,XXX,XX,XX,  Ward No-09 Total,2802,9.0,10.8,10.2,8.2,7.3,11.0,28.9,6.9,2.7,5.0,00111
18,7.0,13.0,XXX,XX,XX,  Belgachhi Union Total,14426,8.7,10.1,10.0,7.1,8.3,9.8,28.7,7.8,3.6,5.9,00111
18,7.0,15.0,XXX,XX,XX,Baradi Union Total,19583,9.6,11.0,10.3,7.2,8.3,9.9,28.8,6.9,2.9,5.1,00111
18,7.0,23.0,XXX,XX,XX,Bhangabaria Union Total,27714,8.8,10.7,10.0,7.8,8.7,10.3,28.0,7.2,2.9,5.6,00111
18,7.0,27.0,XXX,XX,XX,Chithla Union Total,22613,8.7,10.9,10.9,7.9,8.9,10.4,28.0,6.8,2.6,4.9,00111
