ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
65,28,31,XXX,XX,XX,  Chanchari Union Total,3238,3237,0,1,15317,7674,7643.0,100.0,00111
65,28,39,XXX,XX,XX,  Joynagar Union Total,3151,3144,1,6,14092,6926,7166.0,97.0,00111
65,28,47,XXX,XX,XX,  Kalabaria Union Total,3562,3560,0,2,16066,7836,8230.0,95.0,00111
65,28,63,XXX,XX,XX,  Khasial Union Total,3206,3201,4,1,14006,6849,7157.0,96.0,00111
65,28,71,XXX,XX,XX,Mauli Union Total,3659,3656,2,1,16449,8150,8299.0,98.0,00111
65,28,79,XXX,XX,XX,  Pahardanga Union Total,2715,2705,2,8,12653,6233,6420.0,97.0,00111
65,28,87,XXX,XX,XX,Peruli Union Total,5994,5993,0,1,28297,13847,14450.0,96.0,00111
65,28,94,XXX,XX,XX,  Purulia Union Total,4411,4407,1,3,20431,10096,10335.0,98.0,00111
65,28,95,XXX,XX,XX,Salamabad Union Total,2612,2607,1,4,12468,6236,6232.0,100.0,00111
65,52,01,XXX,XX,XX,  Ward No-01 Total,572,572,0,0,2467,1223,1244.0,98.0,00111
65,52,02,XXX,XX,XX,  Ward No-02 Total,763,763,0,0,3133,1533,1600.0,96.0,00111
65,52,03,XXX,XX,XX,  Ward No-03 Total,590,590,0,0,2486,1204,1282.0,94.0,00111
65,52,04,XXX,XX,XX,  Ward No-04 Total,850,847,0,3,3595,1677,1918.0,87.0,00111
65,52,05,XXX,XX,XX,  Ward No-05 Total,587,585,1,1,2587,1269,1318.0,96.0,00111
65,52,06,XXX,XX,XX,  Ward No-06 Total,660,659,1,0,2925,1420,1505.0,94.0,00111
65,52,07,XXX,XX,XX,  Ward No-07 Total,752,746,2,4,3174,1561,1613.0,97.0,00111
65,52,08,XXX,XX,XX,  Ward No-08 Total,686,684,1,1,2961,1427,1534.0,93.0,00111
65,52,09,XXX,XX,XX,  Ward No-09 Total,459,459,0,0,1962,879,1083.0,81.0,00111
65,52,15,XXX,XX,XX,  Dighalia Union Total,5026,5023,1,2,22460,10767,11693.0,92.0,00111
65,52,18,XXX,XX,XX,  Itna Union Total,4983,4952,2,29,22276,10422,11854.0,88.0,00111
65,52,23,XXX,XX,XX,  Joypur Union Total,4513,4511,2,0,20119,9457,10662.0,89.0,00111
65,52,31,XXX,XX,XX,  Kashipur Union Total,3128,3122,0,6,13841,6723,7118.0,94.0,00111
65,52,39,XXX,XX,XX,  Kotakul Union Total,2690,2688,1,1,12141,5786,6355.0,91.0,00111
65,52,47,XXX,XX,XX,  Lahuria Union Total,5359,5355,2,2,25044,12061,12983.0,93.0,00111
65,52,55,XXX,XX,XX,  Lakshmipasha Union Total,2096,2096,0,0,9164,4406,4758.0,93.0,00111
65,52,63,XXX,XX,XX,  Lohagara Union Total,1780,1770,8,2,7571,3587,3984.0,90.0,00111
65,52,71,XXX,XX,XX,  Mallikpur Union Total,3491,3491,0,0,15288,7264,8024.0,91.0,00111
65,52,79,XXX,XX,XX,  Naldi Union Total,4544,4542,0,2,20760,10351,10409.0,99.0,00111
65,52,87,XXX,XX,XX,  Noagram Union Total,3638,3635,1,2,16704,8004,8700.0,92.0,00111
65,52,94,XXX,XX,XX,  Shalnagar Union Total,4066,4064,2,0,17936,8429,9507.0,89.0,00111
65,76,01,XXX,XX,XX,  Ward No-01 Total,672,670,0,2,2969,1455,1514.0,96.0,00111
65,76,02,XXX,XX,XX,  Ward No-02 Total,737,736,1,0,3261,1621,1640.0,99.0,00111
65,76,03,XXX,XX,XX,  Ward No-03 Total,1388,1374,4,10,6142,3175,2967.0,107.0,00111
65,76,04,XXX,XX,XX,  Ward No-04 Total,1609,1591,2,16,6384,3146,3238.0,97.0,00111
65,76,05,XXX,XX,XX,  Ward No-05 Total,1690,1664,2,24,7053,3559,3494.0,102.0,00111
65,76,06,XXX,XX,XX,  Ward No-06 Total,1377,1330,3,44,5901,3026,2875.0,105.0,00111
65,76,07,XXX,XX,XX,  Ward No-07 Total,1175,1172,2,1,5053,2602,2451.0,106.0,00111
65,76,08,XXX,XX,XX,  Ward No-08 Total,573,573,0,0,2423,1213,1210.0,100.0,00111
65,76,09,XXX,XX,XX,  Ward No-09 Total,724,722,0,2,3113,1541,1572.0,98.0,00111
65,76,11,XXX,XX,XX,  Auria Union Total,5375,5365,6,4,23801,11724,12077.0,97.0,00111
65,76,13,XXX,XX,XX,  Banshgram Union Total,4110,4109,0,1,18345,8940,9405.0,95.0,00111
65,76,20,XXX,XX,XX,  Bhadrabila Union Total,4085,4083,2,0,17935,8726,9209.0,95.0,00111
65,76,27,XXX,XX,XX,  Bichhali Union Total,4589,4587,1,1,19349,9633,9716.0,99.0,00111
65,76,33,XXX,XX,XX,  Chandibarpur Union Total,3994,3990,2,2,17385,8474,8911.0,95.0,00111
