ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism
18,07,47,-9,-9,3,  Hardi Union,12445,2.0,0.4,0.3,0.1,0.7,0.4,0.1
18,07,51,-9,-9,-9,  Kalidashpur Union Total,23305,1.1,0.1,0.2,0.0,0.4,0.2,0.1
18,07,55,-9,-9,-9,Jamjami Union Total,18498,1.4,0.1,0.2,0.1,0.7,0.2,0.0
18,07,55,-9,-9,1,  Jamjami Union,12734,1.2,0.1,0.2,0.1,0.5,0.2,0.0
18,07,55,-9,-9,3,  Jamjami Union,5764,2.0,0.1,0.3,0.2,0.9,0.4,0.0
18,07,63,-9,-9,-9,Jehala Union Total,22286,1.8,0.2,0.5,0.2,0.6,0.2,0.1
18,07,63,-9,-9,1,  Jehala Union,11831,2.0,0.2,0.5,0.3,0.6,0.3,0.1
18,07,63,-9,-9,3,  Jehala Union,10455,1.5,0.2,0.4,0.1,0.6,0.2,0.1
18,07,71,-9,-9,-9,  Khadimpur Union Total,19855,0.9,0.1,0.1,0.1,0.4,0.1,0.1
18,07,79,-9,-9,-9,Khaskara Union Total,22865,1.4,0.2,0.3,0.1,0.4,0.2,0.1
18,07,79,-9,-9,1,  Khaskara Union,21963,1.4,0.2,0.3,0.1,0.5,0.2,0.1
18,07,79,-9,-9,3,  Khaskara Union,902,1.1,0.0,0.2,0.0,0.3,0.2,0.3
18,07,87,-9,-9,-9,Kumari Union Total,18246,1.4,0.2,0.2,0.1,0.6,0.1,0.1
18,07,87,-9,-9,1,  Kumari Union,10195,1.4,0.2,0.2,0.1,0.6,0.1,0.1
18,07,87,-9,-9,3,  Kumari Union,8051,1.4,0.2,0.2,0.1,0.6,0.1,0.1
18,07,94,-9,-9,-9,  Nagdaha Union Total,32168,1.5,0.2,0.3,0.2,0.6,0.2,0.1
18,23,-9,-9,-9,-9,Chuadanga Sadar Upazila Total,313935,2.0,0.2,0.5,0.2,0.8,0.2,0.1
18,23,-9,-9,-9,1,  Chuadanga Sadar Upazila,185070,2.3,0.2,0.6,0.2,0.9,0.2,0.1
18,23,-9,-9,-9,2,  Chuadanga Sadar Upazila,85786,1.8,0.2,0.4,0.2,0.7,0.2,0.1
