DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,DPT1_Children12M,DPT2_Children12M,DPT3_Children12M,OPV1_Children12M,OPV2_Children12M,OPV3_Children12M,Measles_Children12M,Fully_Children12M,TT1_Woman15-49Y,TT2_Woman15-49Y,TT3_Woman15-49Y,TT4_Woman15-49Y,TT5_Woman15-49Y,TT1_Woman18-25Y,TT2_Woman18-25Y,TT3_Woman18-25Y,TT4_Woman18-25Y,TT5_Woman18-25Y,MeaslesCoverage_Children9M-9Y,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_3stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,Year
85,Rangpur ,55,Rangpur,93,Rangpur,Rangpur,98.1,98.1,94.8,86.8,98.1,96.2,94.5,82.9,75.4,97.6,92.9,75.7,38.1,15.7,92.4,85.7,59.0,26.2,11.0,88.1,99.0,95.2,91.9,90.0,22.9,89.9,54.8,,2006
87,Satkhira ,40,Khulna,94,Satkhira,Satkhira,100.0,98.8,100.0,97.5,98.8,100.0,100.0,86.8,84.7,100.0,98.6,78.6,46.2,19.5,89.5,86.2,62.9,31.9,10.5,79.0,95.7,96.7,92.9,88.6,13.8,90.3,90.3,87.0,2006
86,Shariatpur ,30,Dhaka,95,Shariatpur,Shariatpur,100.0,100.0,98.3,87.7,100.0,100.0,96.5,90.9,80.4,94.8,89.5,63.3,33.8,20.5,94.8,92.9,79.0,48.1,27.1,97.6,100.0,100.0,100.0,100.0,48.1,99.5,73.9,96.5,2006
89,Sherpur ,30,Dhaka,93,Sherpur,Sherpur,99.5,99.5,92.4,76.3,99.5,93.3,87.3,77.9,67.1,98.6,97.1,71.9,37.1,13.3,88.1,82.4,59.5,27.1,11.0,88.6,97.6,96.7,97.6,94.8,44.3,90.4,74.6,86.7,2006
88,Sirajganj ,50,Rajshahi,95,Sirajganj,Sirajganj,98.6,97.6,95.2,84.1,97.6,96.2,91.9,75.8,70.4,79.5,73.3,35.2,11.0,1.9,84.8,77.1,50.0,22.9,11.0,79.0,79.0,71.9,80.5,46.7,14.8,75.0,76.0,74.4,2006
90,Sunamganj ,60,Sylhet,95,Sunamganj,Sunamganj,94.8,88.3,82.4,68.1,89.0,82.4,77.9,51.1,44.6,88.6,87.1,54.8,30.0,12.4,81.9,70.0,41.9,17.1,7.6,49.0,96.2,93.8,92.9,91.0,15.2,89.8,89.8,77.9,2006
91,Sylhet ,60,Sylhet,92,Sylhet,Sylhet,97.1,96.7,94.6,85.9,96.7,94.6,90.3,76.8,74.7,90.5,87.6,71.0,41.4,21.0,86.2,82.9,61.9,25.7,6.2,87.1,97.1,97.6,95.7,95.2,10.5,95.1,95.1,93.7,2006
91,Sylhet ,60,Sylhet,88,Sylhet CC,Sylhet CC,95.2,94.5,91.2,83.0,94.5,91.9,86.6,77.4,75.2,92.9,90.5,68.6,31.0,13.3,69.0,61.9,45.2,27.1,12.4,83.8,98.6,99.0,98.6,97.1,23.8,96.6,96.6,91.9,2006
91,Sylhet ,60,Sylhet,64,Sylhet Division,Sylhet Division,95.0,93.1,89.0,79.1,93.3,89.2,84.8,68.0,63.7,92.6,90.3,68.3,40.2,17.8,81.2,74.6,53.2,26.7,10.2,76.6,95.9,95.4,95.0,92.6,21.6,92.7,92.7,87.2,2006
93,Tangail ,30,Dhaka,93,Tangail,Tangail,99.5,99.5,98.6,90.3,99.5,98.6,97.1,85.4,81.2,97.6,95.2,70.0,35.7,17.6,92.4,87.6,71.0,36.7,15.7,92.9,97.6,97.6,96.7,94.3,15.2,96.6,84.1,95.9,2006
94,Thakurgaon ,55,Rangpur,95,Thakurgaon,Thakurgaon,99.5,98.8,98.8,90.4,98.8,99.5,96.2,80.8,75.4,99.5,97.6,79.5,37.6,17.1,96.2,93.8,72.4,38.6,12.9,99.0,100.0,100.0,100.0,100.0,10.0,97.5,75.6,,2006
