thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Tongi,1087546,0,3888378,162605,80117,3617,246,88,6567,2,500,932,886,231,0,0,0,0,8762,532,256,2018,12,0407,04,distributionNGO_thanaconsuprocess
Sunamganj Sadar,52860,100,182194,11305,12687,145,1,40,128,0,58,70,0,0,0,0,0,0,1,11,0,2018,12,0604,06,distributionNGO_thanaconsuprocess
Chhatak,11828,0,31679,2935,3041,275,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,2018,12,0604,06,distributionNGO_thanaconsuprocess
Jogonnathpur,2361,245,21579,401,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0604,06,distributionNGO_thanaconsuprocess
Sadar (South),9957,0,18514,303,337,1,0,4,8,0,0,0,0,0,0,0,0,0,0,16,0,2018,12,0604,06,distributionNGO_thanaconsuprocess
Adarsho Sadar,967982,1002,4242153,175820,103393,6404,342,437,7336,275,1748,1639,206,38,0,0,0,5,3758,1192,775,2018,12,0502,05,distributionNGO_thanaconsuprocess
Chouddagram,19146,0,31981,8409,0,116,0,0,0,0,0,103,0,0,0,0,0,0,0,4,0,2018,12,0502,05,distributionNGO_thanaconsuprocess
Barura,441548,0,1825401,67279,26769,1605,1,9,46,0,0,413,18,0,0,0,0,0,44,44,0,2018,12,0502,05,distributionNGO_thanaconsuprocess
Laksham,221759,16,979792,95396,28227,2070,0,0,175,10,0,83,0,39,0,0,15,15,18,97,18,2018,12,0502,05,distributionNGO_thanaconsuprocess
Burichong,459288,428,2653099,50056,21972,507,0,9,372,0,0,233,341,0,170,18750,1190,0,141,47,1,2018,12,0502,05,distributionNGO_thanaconsuprocess
Muradnagar,344185,379,1142112,66385,32466,1072,0,8,123,0,0,775,50,0,0,0,0,0,13,50,13,2018,12,0502,05,distributionNGO_thanaconsuprocess
