
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0683   47    21     04      2     200           990
      0684   47    40     57      2     206           982
      0685   47    45     07      2     200           894
      0686   47    45     12      2     199          1051
      0687   47    45     16      2     197           882
      0688   47    51     26      2     165           742
      0689   47    51     31      2     236           982
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0690   47    51     36      2     230           997
      0691   47    75     27      2     243          1280
      0692   47    75     67      2     241          1253
      0693   47    85     19      2     207           941
      0694   47    85     24      2     259          1070
      0695   10    06     40      1     232           926
      0696   10    20     18      1     216           798
      0697   10    20     47      1     295          1235
      0698   10    20     77      1     209           843
      0699   10    27     38      1     228           925
      0700   10    27     95      1     223           809
      0701   10    40     06      1     236           933
      0702   10    40     61      1     199           799
      0703   10    54     28      1     219           845
      0704   10    67     10      1     191           689
      0705   10    81     19      1     246          1214
      0706   10    81     88      1     218           934
      0707   10    88     66      1     242           980
      0708   10    94     23      1     274          1108
      0709   10    94     63      1     205           909
      0710   10    95     31      1     278          1198
      0711   38    13     47      1     200           774
      0712   38    47     19      1     251           980
      0713   38    47     47      1     236           913
      0714   38    58     38      3     279          1017
      0715   38    58     95      1     203           719
      0716   38    61     47      1     272           963
      0717   38    74     31      1     230           853
      0718   38    74     73      1     241           937
      0719   27    16     47      1     279          1123
      0720   27    12     51      1     263          1225
      0721   27    17     19      1     203           906
      0722   27    17     85      1     208           826
      0723   27    30     07      1     233          1066
      0724   27    30     79      1     234          1138
      0725   27    43     19      1     215           782
      0726   27    56     15      1     262          1051
      0727   27    60     47      1     221          1013
      0728   27    64     25      1     202           837
      0729   27    69     08      1     245           968
      0730   27    69     86      1     256          1050
      0731   27    77     51      1     240          1160
      0732   77    04     40      1     199           945
      0733   77    25     14      1     242          1183
      0734   77    25     73      1     232          1046
      0735   77    34     19      1     249          1192
      0736   77    34     76      1     242          1126
      0737   77    73     35      1     252          1201
      0738   77    73     71      1     215          1099
      0739   77    90     67      1     204          1004
      0740   94    08     31      1     222          1101
      0741   94    51     27      1     240          1203
      0742   94    82     34      1     243          1098
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0743   94    82     94      1     239          1122
      0744   94    86     71      1     225           991
      0745   94    94     21      1     228          1091
      0746   94    94     47      1     234          1033
      0747   94    94     79      1     222           950
      0748   76    05     47      1     217          1024
      0749   76    16     52      1     212          1063
      0750   76    22     11      1     229           988
      0751   76    22     86      1     205           861
